workload,batch_size,new_tokens,repeats,padding_ratio,generated_tokens_per_second_median,generated_tokens_per_second_min,generated_tokens_per_second_max,generated_tokens_per_second_stdev,throughput_requests_per_second_median,throughput_requests_per_second_min,throughput_requests_per_second_max,throughput_requests_per_second_stdev,ttft_ms_median,ttft_ms_min,ttft_ms_max,ttft_ms_stdev,batch_itl_ms_median,batch_itl_ms_min,batch_itl_ms_max,batch_itl_ms_stdev,prefill_ms_median,prefill_ms_min,prefill_ms_max,prefill_ms_stdev,decode_ms_median,decode_ms_min,decode_ms_max,decode_ms_stdev,total_generation_ms_median,total_generation_ms_min,total_generation_ms_max,total_generation_ms_stdev,peak_gpu_memory_mb_median,peak_gpu_memory_mb_min,peak_gpu_memory_mb_max,peak_gpu_memory_mb_stdev,completed,errors
mixed,1,16,3,0.0,25.298568067636868,23.25459334107205,27.38687530212893,2.0661806146504444,1.5811605042273043,1.453412083817003,1.7116797063830582,0.12913628841565278,41.182299971580505,40.24244999885559,45.009800016880035,2.5252293876780314,39.497599959373474,37.65224999189377,42.839350044727325,2.6292780090595755,41.08355003595352,40.11350005865097,44.91364997625351,2.5381128731996374,592.8648499846458,569.0754500627518,628.6340000033379,29.979405466444227,634.6624999642372,609.3179000616074,672.6299500465393,31.865058405906534,3060.7470703125,3060.7470703125,3060.7470703125,0.0,24,0
mixed,1,64,3,0.0,43.360842683012955,41.79631551748943,43.9657150546153,1.119517023040952,0.6775131669220774,0.6530674299607724,0.6869642977283641,0.017492453485014874,23.00894993543625,22.884299993515015,24.623600006103516,0.9702059053380659,21.110249996185303,21.0203999876976,22.122949957847595,0.6122704567228714,22.959699988365173,22.790300011634827,24.5419499874115,0.9661339666627291,1388.0907500386238,1369.520999968052,1468.9222999811172,52.850722997383144,1411.4212501049042,1389.8009499907494,1491.3746500015259,53.50576303217946,3062.060546875,3062.060546875,3062.060546875,0.0,24,0
mixed,2,16,3,0.234375,67.78665041712337,61.755308773686764,74.98090915719747,6.621315910795273,4.2366656510702105,3.8597067983554227,4.686306822324842,0.41383224442470457,38.01300001144409,37.708150029182434,38.04159998893738,0.18481537907604045,27.78470003604889,25.444050014019012,29.263700008392334,1.925954720968992,37.852899968624115,37.55700010061264,37.89770007133484,0.18513069759056097,434.7513000369072,387.48060005903244,475.47850000858307,44.03947904903479,469.7888500094414,425.5222000479698,510.3143500685692,42.40982818280382,3172.52783203125,3172.52783203125,3172.52783203125,0.0,24,0
mixed,2,64,3,0.234375,43.64477815081384,43.423556259854294,44.02401245041393,0.3036734583436272,0.6819496586064663,0.6784930665602233,0.6878751945377176,0.004744897786619175,52.95995008945465,47.024500012397766,53.50465005636215,3.594407931390909,45.66249996423721,45.001700043678284,45.88924998044968,0.4611248918181753,52.8165500164032,46.846400022506714,53.369150042533875,3.6169583345279253,2868.492449939251,2865.110000014305,2880.9956499934196,8.367843752009552,2921.4524000287056,2919.504400074482,2927.8152999281883,4.34649773439929,3175.716796875,3175.716796875,3175.716796875,0.0,24,0
mixed,4,16,3,0.5288461538461539,138.5250801765173,132.40369390463297,140.25792556562774,4.126400328307709,8.65781751103233,8.27523086903956,8.766120347851734,0.25790002051923183,63.723000049591064,63.422349989414215,64.08169996738434,0.3301006117227612,25.85580003261566,25.268349945545197,26.53380000591278,0.6332647450414287,63.54424995183945,63.246200025081635,63.91829997301102,0.33676537757155395,396.15944999456406,389.9767999649048,417.8860501050949,14.658311391720554,459.8824500441551,454.0584999322891,481.3084000945091,14.350068462767732,3392.701171875,3392.701171875,3392.701171875,0.0,24,0
mixed,4,64,3,0.5288461538461539,104.36614759274207,104.02032670786042,108.41465650281395,2.4433634886554834,1.6307210561365948,1.625317604810319,1.693979007856468,0.03817755451024193,71.58090001344681,66.34789997339249,73.3918000459671,3.6578722544535642,39.55380004644394,38.148950040340424,39.60425001382828,0.8260394211428287,71.36314994096756,66.1844499707222,73.1758000254631,3.628213731727287,2377.1514999866486,2292.834550023079,2386.5202999711037,51.59803324357698,2450.5433000326157,2359.1824499964714,2458.1011999845505,55.058825920122906,3399.080078125,3399.080078125,3399.080078125,0.0,24,0
short,1,16,3,0.0,30.898179419159263,29.714962472458506,38.30458519383223,4.655399505549242,1.931136213697454,1.8571851545286566,2.3940365746145145,0.2909624690968276,34.883250057697296,23.539950013160706,39.46685004234314,8.199044550629061,34.24255007505417,24.285749971866608,35.94260001182556,6.296959463852949,34.81625008583069,23.393950045108795,39.373150050640106,8.231738458818276,509.0761499404907,374.3152000308037,512.2955499887466,78.7500847954552,542.3647000193596,403.87585002183914,544.590399980545,80.60676138310201,2965.9130859375,2965.9130859375,2965.9130859375,0.0,24,0
short,1,64,3,0.0,43.07383428973221,26.449293833973893,44.71897547690948,10.106624083780478,0.6730286607770658,0.4132702161558421,0.6987339918267106,0.15791600130906996,24.891649961471558,23.318100035190582,43.58004993200302,11.271490336611784,21.33264994621277,21.23995006084442,38.789300084114075,10.105468103499474,24.82779997587204,23.256300032138824,43.49839997291565,11.260576704704157,1418.1986999511719,1387.7667499780655,2408.138200044632,580.5262287407008,1447.0166999101639,1413.1389999985695,2453.6072499752045,591.1776965291375,2967.2265625,2967.2265625,2967.2265625,0.0,24,0
short,2,16,3,0.0,73.5764452345552,58.84992803998695,82.03493291097527,11.732865331493814,4.5985278271597,3.6781205024991843,5.1271833069359545,0.7333040832183634,22.48054999113083,19.145850002765656,33.48869997262955,7.505741527719492,25.30794996023178,22.314050018787384,34.66814994812012,6.444643327816063,22.429149985313416,19.0978000164032,33.42149996757507,7.495532347550852,421.12645000219345,363.90770000219345,507.48170006275177,72.27806036178758,446.8954500555992,382.9818499684334,537.4296500086784,77.60531830413623,2979.275390625,2979.275390625,2979.275390625,0.0,24,0
short,2,64,3,0.0,57.455178620459115,54.65744699435817,62.70782607552564,4.087097806704269,0.8977371659446737,0.8540226092868464,0.9798097824300881,0.0638609032297542,38.65514999628067,28.351799964904785,40.06545001268387,6.394757819849464,35.51050007343292,34.303950130939484,36.67175006866455,1.183972188598421,38.53515005111694,28.26424992084503,39.96349996328354,6.382319647707816,2241.039849936962,2217.5110499858856,2308.386599957943,47.165585526331505,2279.974299967289,2245.995599925518,2348.452049970627,52.18728845529046,2981.90234375,2981.90234375,2981.90234375,0.0,24,0
short,4,16,3,0.0,93.54061153640913,93.47133402170671,93.87822995523808,0.21769622240646647,5.846288221025571,5.841958376356669,5.86738937220238,0.013606013900404154,47.268949925899506,45.28524994850159,47.84979993104935,1.3447037431962967,41.924450039863586,41.76525008678436,41.972199976444244,0.10836123102392374,47.158599972724915,45.161149978637695,47.74829989671707,1.3559066571765128,634.309800028801,632.8254500627518,637.6915000677109,2.4939136788601988,682.1595999598503,680.0943999886513,682.9767500162125,1.4855261030487452,3006.79248046875,3006.79248046875,3006.79248046875,0.0,24,0
